organism_id	rxn_id	rxn_irreversible	rno_acetaminophen_t1_d1_ctl	rno_acetaminophen_t1_d1_trt
rno	RCR10166	RCR10166_r	1	3.98
rno	RCR10167	RCR10167_f	1.43	0.702
rno	RCR10167	RCR10167_r	1.43	0.702
rno	RCR10168	RCR10168_f	0.584	1.71
rno	RCR10168	RCR10168_r	0.584	1.71
rno	RCR10169	RCR10169_f	0.862	1.16
rno	RCR10169	RCR10169_r	0.862	1.16
rno	RCR10170	RCR10170_f	1.31	0.766
rno	RCR10170	RCR10170_r	1.31	0.766
rno	RCR10171	RCR10171_f	2.05	1.95
rno	RCR10171	RCR10171_r	2.05	1.95
rno	RCR10172	RCR10172_f	0.754	1.33
rno	RCR10172	RCR10172_r	0.754	1.33
rno	RCR10173	RCR10173_f	0.705	1.42
rno	RCR10173	RCR10173_r	0.705	1.42
rno	RCR10174	RCR10174_f	2.09	1.91
rno	RCR10174	RCR10174_r	2.09	1.91
rno	RCR10175	RCR10175_f	1.24	0.807
rno	RCR10175	RCR10175_r	1.24	0.807
rno	RCR10176	RCR10176_f	1.24	0.807
rno	RCR10176	RCR10176_r	1.24	0.807
rno	RCR10177	RCR10177_f	1.24	0.807
rno	RCR10177	RCR10177_r	1.24	0.807
rno	RCR10178	RCR10178_f	1.24	0.807
rno	RCR10178	RCR10178_r	1.24	0.807
rno	RCR10179	RCR10179_f	1.24	0.807
rno	RCR10179	RCR10179_r	1.24	0.807
rno	RCR10180	RCR10180_f	1.24	0.807
rno	RCR10180	RCR10180_r	1.24	0.807
rno	RCR10181	RCR10181_f	1.24	0.807
rno	RCR10181	RCR10181_r	1.24	0.807
rno	RCR10182	RCR10182_f	1.24	0.807
rno	RCR10182	RCR10182_r	1.24	0.807
rno	RCR10183	RCR10183_f	1.24	0.807
rno	RCR10183	RCR10183_r	1.24	0.807
rno	RCR10184	RCR10184_f	1.24	0.807
rno	RCR10184	RCR10184_r	1.24	0.807
rno	RCR10185	RCR10185_f	1.24	0.807
rno	RCR10185	RCR10185_r	1.24	0.807
rno	RCR10186	RCR10186_f	1.24	0.807
rno	RCR10186	RCR10186_r	1.24	0.807
rno	RCR10187	RCR10187_f	1.24	0.807
rno	RCR10187	RCR10187_r	1.24	0.807
rno	RCR10188	RCR10188_f	1.24	0.807
rno	RCR10188	RCR10188_r	1.24	0.807
rno	RCR10189	RCR10189_f	1.24	0.807
rno	RCR10189	RCR10189_r	1.24	0.807
rno	RCR10190	RCR10190_f	1.24	0.807
rno	RCR10190	RCR10190_r	1.24	0.807
rno	RCR10191	RCR10191_f	1.24	0.807
rno	RCR10191	RCR10191_r	1.24	0.807
rno	RCR10192	RCR10192_f	1.24	0.807
rno	RCR10192	RCR10192_r	1.24	0.807
rno	RCR10193	RCR10193_f	1.24	0.807
rno	RCR10193	RCR10193_r	1.24	0.807
rno	RCR10194	RCR10194_f	1.24	0.807
rno	RCR10194	RCR10194_r	1.24	0.807
rno	RCR10195	RCR10195_f	1.24	0.807
rno	RCR10195	RCR10195_r	1.24	0.807
rno	RCR10196	RCR10196_f	1.24	0.807
rno	RCR10196	RCR10196_r	1.24	0.807
rno	RCR10197	RCR10197_f	1.24	0.807
rno	RCR10197	RCR10197_r	1.24	0.807
rno	RCR10198	RCR10198_f	1.24	0.807
rno	RCR10198	RCR10198_r	1.24	0.807
rno	RCR10199	RCR10199_f	1.24	0.807
rno	RCR10199	RCR10199_r	1.24	0.807
rno	RCR10200	RCR10200_f	1.24	0.807
rno	RCR10200	RCR10200_r	1.24	0.807
rno	RCR10201	RCR10201_f	1.24	0.807
rno	RCR10201	RCR10201_r	1.24	0.807
rno	RCR10202	RCR10202_f	1.24	0.807
rno	RCR10202	RCR10202_r	1.24	0.807
rno	RCR10203	RCR10203_f	1.24	0.807
rno	RCR10203	RCR10203_r	1.24	0.807
rno	RCR10204	RCR10204_f	1.24	0.807
rno	RCR10204	RCR10204_r	1.24	0.807
rno	RCR10205	RCR10205_f	1.24	0.807
rno	RCR10205	RCR10205_r	1.24	0.807
rno	RCR10206	RCR10206_f	1.24	0.807
rno	RCR10206	RCR10206_r	1.24	0.807
rno	RCR10207	RCR10207_f	1.24	0.807
rno	RCR10207	RCR10207_r	1.24	0.807
rno	RCR10208	RCR10208_f	1.24	0.807
rno	RCR10208	RCR10208_r	1.24	0.807
rno	RCR10209	RCR10209_f	1.24	0.807
rno	RCR10209	RCR10209_r	1.24	0.807
rno	RCR10210	RCR10210_f	1.24	0.807
rno	RCR10210	RCR10210_r	1.24	0.807
rno	RCR10211	RCR10211_f	1.24	0.807
rno	RCR10211	RCR10211_r	1.24	0.807
rno	RCR10212	RCR10212_f	1.24	0.807
rno	RCR10212	RCR10212_r	1.24	0.807
rno	RCR10213	RCR10213_f	1	1
rno	RCR10213	RCR10213_r	1	1
rno	RCR10214	RCR10214_f	0.941	1.06
rno	RCR10214	RCR10214_r	0.941	1.06
rno	RCR10215	RCR10215_f	1.07	3.74
rno	RCR10215	RCR10215_r	1.07	3.74
rno	RCR10216	RCR10216_f	1.62	2.46
rno	RCR10216	RCR10216_r	1.62	2.46
rno	RCR10217	RCR10217_f	1.18	0.85
rno	RCR10217	RCR10217_r	1.18	0.85
rno	RCR10218	RCR10218_f	0.536	1.86
rno	RCR10218	RCR10218_r	0.536	1.86
rno	RCR10219	RCR10219_f	1.98	0.506
rno	RCR10219	RCR10219_r	1.98	0.506
rno	RCR10220	RCR10220_f	3.45	0.29
rno	RCR10220	RCR10220_r	3.45	0.29
rno	RCR10221	RCR10221_f	1.06	0.944
rno	RCR10221	RCR10221_r	1.06	0.944
rno	RCR10222	RCR10222_f	1.72	2.32
rno	RCR10222	RCR10222_r	1.72	2.32
rno	RCR10223	RCR10223_f	2.08	1.92
rno	RCR10223	RCR10223_r	2.08	1.92
rno	RCR10224	RCR10224_f	1.82	2.2
rno	RCR10224	RCR10224_r	1.82	2.2
rno	RCR10225	RCR10225_f	0.845	1.18
rno	RCR10225	RCR10225_r	0.845	1.18
rno	RCR10226	RCR10226_f	4	4
rno	RCR10226	RCR10226_r	4	4
rno	RCR10227	RCR10227_f	1.54	0.65
rno	RCR10227	RCR10227_r	1.54	0.65
rno	RCR10228	RCR10228_f	2	2
rno	RCR10228	RCR10228_r	2	2
rno	RCR10229	RCR10229_f	0.869	1.15
rno	RCR10229	RCR10229_r	0.869	1.15
rno	RCR10230	RCR10230_f	1	1
rno	RCR10230	RCR10230_r	1	1
rno	RCR10231	RCR10231_f	2.36	1.69
rno	RCR10231	RCR10231_r	2.36	1.69
rno	RCR10232	RCR10232_f	1.01	0.99
rno	RCR10232	RCR10232_r	1.01	0.99
rno	RCR10233	RCR10233_f	0.516	1.94
rno	RCR10233	RCR10233_r	0.516	1.94
rno	RCR10234	RCR10234_f	1.07	0.934
rno	RCR10234	RCR10234_r	1.07	0.934
rno	RCR10235	RCR10235_f	1.01	0.988
rno	RCR10235	RCR10235_r	1.01	0.988
rno	RCR10236	RCR10236_f	1.06	0.942
rno	RCR10236	RCR10236_r	1.06	0.942
rno	RCR10237	RCR10237_f	2	2
rno	RCR10237	RCR10237_r	2	2
rno	RCR10238	RCR10238_f	1.07	0.934
rno	RCR10238	RCR10238_r	1.07	0.934
rno	RCR10239	RCR10239_f	1.07	0.934
rno	RCR10239	RCR10239_r	1.07	0.934
rno	RCR10240	RCR10240_f	1.26	0.794
rno	RCR10240	RCR10240_r	1.26	0.794
rno	RCR10241	RCR10241_f	1	1
rno	RCR10241	RCR10241_r	1	1
rno	RCR10242	RCR10242_f	1.07	0.934
rno	RCR10242	RCR10242_r	1.07	0.934
rno	RCR10243	RCR10243_f	4	4
rno	RCR10243	RCR10243_r	4	4
rno	RCR10244	RCR10244_f	1.91	2.09
rno	RCR10244	RCR10244_r	1.91	2.09
rno	RCR10245	RCR10245_f	2	2
rno	RCR10245	RCR10245_r	2	2
rno	RCR10246	RCR10246_f	0.873	4.58
rno	RCR10246	RCR10246_r	0.873	4.58
rno	RCR10247	RCR10247_f	1.07	0.937
rno	RCR10247	RCR10247_r	1.07	0.937
rno	RCR10248	RCR10248_f	1.73	2.32
rno	RCR10248	RCR10248_r	1.73	2.32
rno	RCR10249	RCR10249_f	0.589	1.7
rno	RCR10249	RCR10249_r	0.589	1.7
rno	RCR10250	RCR10250_f	0.744	1.34
rno	RCR10250	RCR10250_r	0.744	1.34
rno	RCR10251	RCR10251_f	2.54	1.57
rno	RCR10251	RCR10251_r	2.54	1.57
rno	RCR10252	RCR10252_f	4	4
rno	RCR10252	RCR10252_r	4	4
rno	RCR10253	RCR10253_f	0.397	2.52
rno	RCR10253	RCR10253_r	0.397	2.52
rno	RCR10254	RCR10254_f	2.24	1.78
rno	RCR10254	RCR10254_r	2.24	1.78
rno	RCR10255	RCR10255_f	1.93	2.07
rno	RCR10255	RCR10255_r	1.93	2.07
rno	RCR10256	RCR10256_f	0.812	1.23
rno	RCR10256	RCR10256_r	0.812	1.23
rno	RCR10257	RCR10257_f	2	2
rno	RCR10257	RCR10257_r	2	2
rno	RCR10258	RCR10258_f	2	2
rno	RCR10258	RCR10258_r	2	2
rno	RCR10259	RCR10259_f	1.11	0.902
rno	RCR10259	RCR10259_r	1.11	0.902
rno	RCR10260	RCR10260_f	2	2
rno	RCR10260	RCR10260_r	2	2
rno	RCR10261	RCR10261_f	2	2
rno	RCR10261	RCR10261_r	2	2
rno	RCR10262	RCR10262_f	1.96	2.04
rno	RCR10262	RCR10262_r	1.96	2.04
rno	RCR10263	RCR10263_f	0.536	1.86
rno	RCR10263	RCR10263_r	0.536	1.86
rno	RCR10264	RCR10264_f	0.843	1.19
rno	RCR10264	RCR10264_r	0.843	1.19
rno	RCR10265	RCR10265_f	0.414	2.41
rno	RCR10265	RCR10265_r	0.414	2.41
rno	RCR10266	RCR10266_f	2.08	1.92
rno	RCR10266	RCR10266_r	2.08	1.92
rno	RCR10267	RCR10267_f	1.24	3.23
rno	RCR10267	RCR10267_r	1.24	3.23
rno	RCR10268	RCR10268_f	0.96	1.04
rno	RCR10268	RCR10268_r	0.96	1.04
rno	RCR10269	RCR10269_f	0.96	1.04
rno	RCR10269	RCR10269_r	0.96	1.04
rno	RCR10270	RCR10270_f	2.43	1.65
rno	RCR10270	RCR10270_r	2.43	1.65
rno	RCR10271	RCR10271_f	2	2
rno	RCR10271	RCR10271_r	2	2
rno	RCR10272	RCR10272_f	0.96	1.04
rno	RCR10272	RCR10272_r	0.96	1.04
rno	RCR10273	RCR10273_f	2	2
rno	RCR10273	RCR10273_r	2	2
rno	RCR10274	RCR10274_f	1.54	0.65
rno	RCR10274	RCR10274_r	1.54	0.65
rno	RCR10275	RCR10275_f	2.17	0.461
rno	RCR10275	RCR10275_r	2.17	0.461
rno	RCR10276	RCR10276_f	1.15	0.866
rno	RCR10276	RCR10276_r	1.15	0.866
rno	RCR10277	RCR10277_f	2.87	1.39
rno	RCR10277	RCR10277_r	2.87	1.39
rno	RCR10278	RCR10278_f	2	2
rno	RCR10278	RCR10278_r	2	2
rno	RCR10279	RCR10279_f	2.02	1.98
rno	RCR10279	RCR10279_r	2.02	1.98
